tamil,transliterated,colloquial
ஆரம்பகாலப் பாடல்கள் தமிழகத்திலிருந்தே வெளிவந்தன.,ārambagālap pāḍalgaḷ thamizhagathilirundhē veḷivandhaṉa.
"பேச்சு வழக்கு இலத்தீன் மொழியானது பெரும்பாலும் படையாட்களும், வணிகர்களும் மற்ற குடியேறிய பொதுமக்களும் பேசிய மொழியாகும்.","pēchŭ vazhakkŭ ilathīṉ mozhiyāṉadhŭ perumbālum paḍaiyāṭkaḷum, vaṇigargaḷum maṯṟa kuḍiyēṟiya podhumakkaḷum pēsiya mozhiyāgum."
"இவை 5,000 ஆண்டுகளுக்கு மேற்பட்ட இந்தியாவின் பண்பாட்டு மரபினை விளக்குவனவாக உள்ளன.","ivai 5,000 āṇḍugaḷukkŭ mēṟpaṭṭa indhiyāviṉ paṇbāṭṭŭ marabiṉai viḷakkuvaṉavāga uḷḷaṉa."
"பசுங்குடில் முறைகளைப் பயன்படுத்தி பழ மரங்கள், மரக்கறி வகைகள், மீன், கால்நடைகள் என்பவற்றை வளர்க்க முடியும்.","pasuṅguḍil muṟaigaḷaip payaṉbaḍuthi pazha maraṅgaḷ, marakkaṟi vagaigaḷ, mīṉ, kālnaḍaigaḷ yeṉbavaṯṟai vaḷarkka muḍiyum."
"பாதாள அரண்மனையில் பூலோக ரம்பையுடன் சல்லாபித்திருந்த புவனேந்திரன் அவளுடன் சதுரங்கம் ஆடும்போது , மந்திரியின் நினைவு வந்து, அவளுடன் பூலோகம் வருகிறான்.","pādhāḷa araṇmaṉaiyil pūlōga rambaiyuḍaṉ challābithirundha puvaṉēndhiraṉ avaḷuḍaṉ chadhuraṅgam āḍumbōdhŭ , mandhiriyiṉ niṉaivŭ vandhu, avaḷuḍaṉ pūlōgam varugiṟāṉ."
இந்த நூலகத்தை ஆக்கிப் பாதுகாப்பவர் பல்லடம் மாணிக்கம் ஆவார்.,indha nūlagathai ākkip pādhugāppavar pallaḍam māṇikkam āvār.
விந்துச் சுரப்பி விந்துச் செல்களையும் டெசுடோசிடிரான் ஆர்மோனையும் உற்பத்தி செய்கிறது.,vindhuch churappi vindhuch chelgaḷaiyum ṭesuḍōsiḍirāṉ ārmōṉaiyum uṟpathi cheygiṟadhu.
"எந்திரத் துப்பாக்கிகள் பொதுவாக மென் எந்திரத் துப்பாக்கிகள், இடைநிலை எந்திரத் துப்பாக்கிகள், தன்னியக்கப் பீரங்கிகள் அல்லது வன் எந்திரத் துப்பாக்கிகள், பொதுநோக்க எந்திரத் துப்பாக்கிகள் என வகைப்படுத்தப்படுகின்றன.","yendhirath thuppākkigaḷ podhuvāga meṉ yendhirath thuppākkigaḷ, iḍainilai yendhirath thuppākkigaḷ, thaṉṉiyakkap pīraṅgigaḷ alladhŭ vaṉ yendhirath thuppākkigaḷ, podhunōkka yendhirath thuppākkigaḷ yeṉa vagaippaḍuthappaḍugiṉḏraṉa."
"இது 57வது மேளகர்த்தா இராகமாகிய, ""திசி"" என்றழைக்கப்படும் 10வது சக்கரத்தின் 3வது மேளமாகிய சிம்மேந்திரமத்திமத்தின் ஜன்னிய இராகம் ஆகும்.","idhŭ 57vadhŭ mēḷagarthā irāgamāgiya, ""thisi"" yeṉḏrazhaikkappaḍum 10vadhŭ chakkarathiṉ 3vadhŭ mēḷamāgiya chimmēndhiramathimathiṉ jaṉṉiya irāgam āgum."
70 வயதுக்கு அடைந்த தொழிலாளர்களுக்கும் ஒரு ஓய்வூதிய தொகை வழங்கினார்.,70 vayadhukkŭ aḍaindha thozhilāḷargaḷukkum orŭ ōyvūdhiya thogai vazhaṅgiṉār.
"தி பிலடெல்பியா கூட்ட வரைவில் நடப்பு அமெரிக்க அரசியல்சட்ட தீர்மானம் செப்டம்பர் 17, 1787 அன்று நிறைவேற்றப்பட்டது; அதனை அடுத்த ஆண்டில் உறுதி செய்து மாநிலங்களை ஒரு வலிமையான நடுவண் அரசாங்கத்தின் கீழான ஒற்றைக் குடியரசாக மாற்றியது.","thi pilaḍelbiyā kūṭṭa varaivil naḍappŭ amerikka arasiyalsaṭṭa thīrmāṉam chepṭambar 17, 1787 aṉḏrŭ niṟaivēṯṟappaṭṭadhu; adhaṉai aḍutha āṇḍil uṟudhi cheydhŭ mānilaṅgaḷai orŭ valimaiyāṉa naḍuvaṇ arasāṅgathiṉ kīzhāṉa oṯṟaik kuḍiyarasāga māṯṟiyadhu."
எஸ்.,yes.
"இவை தவிர, நடுப் போலந்தில், ஆறுகளையும் ஏரிகளையும் அண்டிய ஈரநிலங்களும், வடக்கின் கடற்கரைப் பகுதிகளும் சட்டப்படி காக்கப்பட்டுள்ளன.","ivai thavira, naḍup pōlandhil, āṟugaḷaiyum yērigaḷaiyum aṇḍiya īranilaṅgaḷum, vaḍakkiṉ kaḍaṟkaraip pagudhigaḷum chaṭṭappaḍi kākkappaṭṭuḷḷaṉa."
"இம்மாநிலத்தை நிர்வாக வசதிக்காக பதின்மூன்று வருவாய் மாவட்டங்களாகவும்; எண்பது வருவாய் கோட்டங்களாகவும், 664 வருவாய் மண்டல்களாகவும் பிரிக்கப்பட்டுள்ளது.","immānilathai nirvāga vasadhikkāga padhiṉmūṉḏrŭ varuvāy māvaṭṭaṅgaḷāgavum; yeṇbadhŭ varuvāy kōṭṭaṅgaḷāgavum, 664 varuvāy maṇḍalgaḷāgavum pirikkappaṭṭuḷḷadhu."
பட எழுத்துக்களைச் சில வேளைகளில் கருத்தெழுத்து (ideogram) என்றும் குறிப்பது உண்டு.,paḍa yezhuthukkaḷaich chila vēḷaigaḷil karuthezhuthŭ (ideogram) yeṉḏrum kuṟippadhŭ uṇḍu.
பூவின் வண்ண ஒளி ஒளிச்சேர்க்கைக்கு உதவாத அளவு மெலிவானதாகும்.,pūviṉ vaṇṇa oḷi oḷichērkkaikkŭ udhavādha aḷavŭ melivāṉadhāgum.
தமிழ் மொழியில் பெருமளவிலும் சிறப்பான முறையிலும் நூல்கள் தோன்றவில்லை.,thamizh mozhiyil perumaḷavilum chiṟappāṉa muṟaiyilum nūlgaḷ thōṉḏravillai.
ஒரு தொடரில் இடமிருந்து வலமாகச் செல்கையில் ஒவ்வொரு தனிமமும் ஒரு புரோட்டானை அதிகமாகப் பெறுகின்றன.,orŭ thoḍaril iḍamirundhŭ valamāgach chelgaiyil ovvorŭ thaṉimamum orŭ purōṭṭāṉai adhigamāgap peṟugiṉḏraṉa.
"குழந்தைத் தொழிலாளர் பொருளாதாரம் என்ற தலைப்பில் 1998 ஆம் ஆண்டு ""அமெரிக்க "" பொருளாதார மறுபார்வையில் கவுசிக் பாசு மற்றும் பாம் ஹோவாங் வான் ஆகியோர், குழந்தைத் தொழிலாளர் முறைக்கு முக்கியக் காரணம் குடும்ப வறுமையே என்ற வாதத்தை முன்வைத்தனர்.","kuzhandhaith thozhilāḷar poruḷādhāram yeṉḏra thalaippil 1998 ām āṇḍŭ ""amerikka "" poruḷādhāra maṟubārvaiyil kavusik pāsŭ maṯṟum pām hōvāṅ vāṉ āgiyōr, kuzhandhaith thozhilāḷar muṟaikkŭ mukkiyak kāraṇam kuḍumba vaṟumaiyē yeṉḏra vādhathai muṉvaithaṉar."
"இந்தக் காரணிகளைச் சார்ந்து விளையாட்டின் கடினத்தன்மை, விதிமுறைகள், சவால்கள் மற்றும் மக்களின் இன்பத்தை அதிகப்படுத்துவதற்கான பங்கேற்பாளர்கள் போன்றோர் எண்ணிக்கையில் மாறுபடுகின்றனர்.","indhak kāraṇigaḷaich chārndhŭ viḷaiyāṭṭiṉ kaḍiṉathaṉmai, vidhimuṟaigaḷ, chavālgaḷ maṯṟum makkaḷiṉ iṉbathai adhigappaḍuthuvadhaṟkāṉa paṅgēṟpāḷargaḷ pōṉḏrōr yeṇṇikkaiyil māṟubaḍugiṉḏraṉar."
கூட்டன்பர்க் வளர்ந்து வந்த சமயத்தில் அச்சுப்பால் அச்சுமுறை என்ற புத்தகங்களை அச்சடிக்கும் ஒரு புதிய முறை அறிமுகமானது ஒரு மரப்பலகையில் ஒவ்வொரு எழுத்தாக செதுக்கி எழுத்துகள் எழும்பி நிற்கும்படி செய்ய வேண்டும்.,kūṭṭaṉbark vaḷarndhŭ vandha chamayathil achuppāl achumuṟai yeṉḏra puthagaṅgaḷai achaḍikkum orŭ pudhiya muṟai aṟimugamāṉadhŭ orŭ marappalagaiyil ovvorŭ yezhuthāga chedhukki yezhuthugaḷ yezhumbi niṟkumbaḍi cheyya vēṇḍum.
இது கொரானாவின் பெயரில் தொடர்ந்து ஆய்வை மேற்கொள்வதற்காக ஏற்படுத்தப்பட்டது.,idhŭ korāṉāviṉ peyaril thoḍarndhŭ āyvai mēṟkoḷvadhaṟkāga yēṟpaḍuthappaṭṭadhu.
"அவை ஔரங்காபாத் மண்டலம், புணே மண்டலம், அமராவதி மண்டலம், கொங்கண் மண்டலம், நாக்பூர் மண்டலம், நாசிக் மண்டலம், நாந்தெட் மண்டலம் ஆகியனவாகும்.இவை அரசாண்மைக்கு பிரிக்கப்பட்ட வருமானத்துறை பிரிவுகளாகும்.","avai auraṅgābāth maṇḍalam, puṇē maṇḍalam, amarāvadhi maṇḍalam, koṅgaṇ maṇḍalam, nākpūr maṇḍalam, nāsik maṇḍalam, nāndheṭ maṇḍalam āgiyaṉavāgum.ivai arasāṇmaikkŭ pirikkappaṭṭa varumāṉathuṟai pirivugaḷāgum."
"விவிலியத்தில் கூறப்பட்டுள்ளதன் படி, கடவுள் மனிதரின் தீய செயல்களை கண்டு கோபமுற்றவராக உலகை அழிக்க எண்ணினார்.","viviliyathil kūṟappaṭṭuḷḷadhaṉ paḍi, kaḍavuḷ maṉidhariṉ thīya cheyalgaḷai kaṇḍŭ kōbamuṯṟavarāga ulagai azhikka yeṇṇiṉār."
"கனரக இயந்திரங்கள் (குறிப்பாக டிராக்டர்கள்), உரம் போன்ற விவசாயப் பொருட்கள் பெலருசியாவின் பிரதான ஏற்றுமதிகளாகும், எனினும் பொட்டாசிய உரவகைகள் உற்பத்தியில் உலகில் முன்னோடிகளில் ஒருவராக பெலாருஸ் விளங்குகின்றது.","kaṉaraga iyandhiraṅgaḷ (kuṟippāga ṭirākṭargaḷ), uram pōṉḏra vivasāyap poruṭkaḷ pelarusiyāviṉ piradhāṉa yēṯṟumadhigaḷāgum, yeṉiṉum poṭṭāsiya uravagaigaḷ uṟpathiyil ulagil muṉṉōḍigaḷil oruvarāga pelārus viḷaṅgugiṉḏradhu."
